<<<<<<< HEAD
100,0.00138451
176,0.00753551
252,0.0195449
328,0.0442298
404,0.0795414
480,0.136642
556,0.211945
632,0.302502
708,0.431404
784,0.590716
860,0.794588
936,1.03657
1012,1.32908
1088,1.65594
1164,2.02603
1240,2.4668
1316,2.92335
1392,3.5334
1468,4.12724
1544,4.77742
1620,5.52418
1696,6.32056
1772,7.16984
1848,8.22908
1924,9.15268
2000,10.3229
=======
0.00740841,0.00138451
0.038495,0.00753551
0.111472,0.0195449
0.244523,0.0442298
0.45528,0.0795414
0.761621,0.136642
1.17395,0.211945
1.73408,0.302502
2.4355,0.431404
3.29426,0.590716
4.35444,0.794588
5.64407,1.03657
7.16827,1.32908
8.91362,1.65594
10.9311,2.02603
13.2386,2.4668
15.8513,2.92335
18.7744,3.5334
21.9844,4.12724
25.5768,4.77742
29.5543,5.52418
33.8275,6.32056
38.5849,7.16984
43.8038,8.22908
49.4368,9.15268
55.3965,10.3229
>>>>>>> 68a765bfa4dd68d2be750b801cc1e741c93b5285
