178	1.70214818600107
358	7.09205518299859
537	14.8038363970009
716	27.0365697790003
895	42.5021277929991
1074	60.6207957549996
1253	79.9574952149997
1432	106.705971191001
1611	133.111995577001
1790	163.618691645999
1969	198.794982856998
2148	241.148463359001
2327	275.541576210999
2506	323.217905321999
2685	371.290206549998
2874	429.912281959001
3053	485.322751331001
3232	545.820733338998
3411	603.358232573999
3590	678.706273265001
3769	751.554062298001
3948	825.585648235003
4127	890.451960293001
4306	973.566447267
4461	1045.84781561849
