178 0.02969522499915911
358 0.13492838100137305
537 0.3015428870003234
716 0.5719185449997894
895 0.8860067140012688
1074 1.242966110999987
1253 1.649545558999307
1432 2.6405230180007493
1611 2.8559283890008373
1790 3.5970778730006714
1969 4.38948754500052
2148 5.390980847998435
2327 6.982548963998852
2506 7.107326702000137
2685 8.947021272999336
2874 9.275371159001224
3053 9.698263811000288
3232 11.192315113999939
3411 12.404679031000342
3590 12.853421451000031
3769 14.390613650999512
3948 15.625681643999997
4127 17.10848504599926
4306 18.507358627999565
4461 19.86755963700125
